Vigolo comune,Vigolo comune.1
,
Vigolo – VedutaVeduta,Vigolo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gabriele Gori (lista civica Vigolo Vola) dal 26-5-2019
Territorio,Territorio
Coordinate,45°43′N 10°01′E
Altitudine,616 m s.l.m.
Superficie,"12,31 km²"
Abitanti,568[1] (30-11-2025)
Densità,"46,14 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Adrara San Martino, Adrara San Rocco, Fonteno, Parzanica, Predore, Tavernola Bergamasca, Viadanica"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016237
Cod. catastale,L894
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 944 GG[4]"
Nome abitanti,vigolesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Vigolo,Vigolo
Vigolo – MappaPosizione del comune di Vigolo nella provincia di Bergamo,Vigolo – MappaPosizione del comune di Vigolo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
