Valbrembo comune,Valbrembo comune.1
,
Valbrembo – VedutaLa piazza di Ossanesga,Valbrembo – VedutaLa piazza di Ossanesga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Veniero Arrigoni (lista civica Cittadini protagonisti) dal 10-6-2024
Territorio,Territorio
Coordinate,45°43′08″N 9°36′34″E
Altitudine,261 m s.l.m.
Superficie,"3,8[1] km²"
Abitanti,4 304[2] (30-11-2025)
Densità,"1 132,63 ab./km²"
Frazioni,nessuna[3]; vedi quartieri
Comuni confinanti,"Almenno San Bartolomeo, Bergamo, Brembate di Sopra, Mozzo, Paladina, Ponte San Pietro"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016224
Cod. catastale,L545
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 550 GG[5]"
Nome abitanti,valbrembesi
Patrono,"Ossanesga: Santi Vito, Modesto e Crescenzia Scano: Santi Cosma e Damiano"
Giorno festivo,26 settembre
Cartografia,Cartografia
Valbrembo,Valbrembo
Valbrembo – MappaPosizione del comune di Valbrembo nella provincia di Bergamo,Valbrembo – MappaPosizione del comune di Valbrembo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
