Nembro comune,Nembro comune.1
,
Nembro – VedutaVista panoramica di Nembro,Nembro – VedutaVista panoramica di Nembro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gianfranco Ravasio (lista civica di centro-sinistra Paese vivo) dal 12-6-2022
Territorio,Territorio
Coordinate,45°44′38″N 9°45′34″E
Altitudine,309 m s.l.m.
Superficie,"15,24 km²"
Abitanti,11 259[1] (30-11-2025)
Densità,"738,78 ab./km²"
Frazioni,"Gavarno, Lonno, Salmezza, San Vito, Trevasco[2]"
Comuni confinanti,"Albino, Algua, Alzano Lombardo, Pradalunga, Scanzorosciate, Selvino, Villa di Serio, Zogno"
Altre informazioni,Altre informazioni
Cod. postale,24027
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016144
Cod. catastale,F864
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 439 GG[4]"
Nome abitanti,nembresi
Patrono,Madonna dello Zuccarello  San Martino
Giorno festivo,8 agosto  11 novembre
Cartografia,Cartografia
Nembro,Nembro
Nembro – MappaPosizione del comune di Nembro nella provincia di Bergamo,Nembro – MappaPosizione del comune di Nembro nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
