Fiorano al Serio comune,Fiorano al Serio comune.1
,
Fiorano al Serio – VedutaPanorama,Fiorano al Serio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Bolandrina (lista civica Insieme per Fiorano) dal 27-5-2019
Territorio,Territorio
Coordinate,45°48′07″N 9°50′35″E
Altitudine,396 m s.l.m.
Superficie,"1,06 km²"
Abitanti,2 946[1] (30-11-2025)
Densità,"2 779,25 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Casnigo, Cene, Gazzaniga, Vertova"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016100
Cod. catastale,D606
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 632 GG[4]"
Nome abitanti,fioranesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Fiorano al Serio,Fiorano al Serio
Fiorano al Serio – MappaPosizione del comune di Fiorano al Serio nella provincia di Bergamo,Fiorano al Serio – MappaPosizione del comune di Fiorano al Serio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
