Carapelle Calvisio comune,Carapelle Calvisio comune.1
,
Carapelle Calvisio – VedutaVista del paese dall'alto,Carapelle Calvisio – VedutaVista del paese dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Rosella Galasso (lista civica Insieme per Carapelle) dal 4-10-2021
Territorio,Territorio
Coordinate,42°18′01″N 13°41′08″E
Altitudine,910 m s.l.m.
Superficie,"14,79 km²"
Abitanti,69[1] (30-11-2025)
Densità,"4,67 ab./km²"
Comuni confinanti,"Calascio, Capestrano, Caporciano, Castelvecchio Calvisio, Isola del Gran Sasso d'Italia (TE), Navelli, San Pio delle Camere, Santo Stefano di Sessanio"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066024
Cod. catastale,B725
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 917 GG[3]"
Nome abitanti,carapellesi
Patrono,san Pancrazio martire
Giorno festivo,12 maggio
Cartografia,Cartografia
Carapelle Calvisio,Carapelle Calvisio
Carapelle Calvisio – MappaPosizione del comune di Carapelle Calvisio all'interno della provincia dell'Aquila,Carapelle Calvisio – MappaPosizione del comune di Carapelle Calvisio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
