Tione degli Abruzzi comune,Tione degli Abruzzi comune.1
,
Tione degli Abruzzi – VedutaTorre civica,Tione degli Abruzzi – VedutaTorre civica
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Stefania Mariani (Lista Civica Unità Rinnovamento Progresso) dal 22/09/2020 (1º mandato)
Territorio,Territorio
Coordinate,42°12′18″N 13°38′12″E
Altitudine,581 m s.l.m.
Superficie,"39,66 km²"
Abitanti,243[1] (30-11-2025)
Densità,"6,13 ab./km²"
Frazioni,"Goriano Valli, Pagliare, Santa Maria del Ponte"
Comuni confinanti,"Acciano, Caporciano, Fontecchio, Rocca di Mezzo, Secinaro"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066100
Cod. catastale,L173
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 328 GG[3]"
Nome abitanti,tionesi
Giorno festivo,6 dicembre
Cartografia,Cartografia
Tione degli Abruzzi,Tione degli Abruzzi
Tione degli Abruzzi – MappaPosizione del comune di Tione degli Abruzzi all'interno della provincia dell'Aquila,Tione degli Abruzzi – MappaPosizione del comune di Tione degli Abruzzi all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
