Collepietro comune,Collepietro comune.1
,
Collepietro – VedutaPanorama,Collepietro – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Mauro Colangeli[1] (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,42°13′22″N 13°46′49″E
Altitudine,849 m s.l.m.
Superficie,"15,21 km²"
Abitanti,201[2] (30-11-2025)
Densità,"13,21 ab./km²"
Comuni confinanti,"Bussi sul Tirino (PE), Navelli, Popoli Terme (PE), San Benedetto in Perillis"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066040
Cod. catastale,C866
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 808 GG[4]"
Nome abitanti,collepetrani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
PIL,(nominale) 4 mln €[5]
PIL procapite,(nominale) 14 926 €[5]
Cartografia,Cartografia
Collepietro,Collepietro
Collepietro – MappaPosizione del comune di Collepietro all'interno della provincia dell'Aquila,Collepietro – MappaPosizione del comune di Collepietro all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
