Fagnano Alto comune,Fagnano Alto comune.1
,
Fagnano Alto – VedutaVista dal Santuario di San Rocco,Fagnano Alto – VedutaVista dal Santuario di San Rocco
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Francesco D'Amore[1] (lista civica Per Fagnano) dal 31-5-2015
Territorio,Territorio
Coordinate,42°15′16″N 13°34′31″E
Altitudine,665 m s.l.m.
Superficie,"24,64 km²"
Abitanti,339[2] (30-11-2025)
Densità,"13,76 ab./km²"
Frazioni,"Termine, Frascara, Campana, Opi, Pedicciano, Ripa, Vallecupa (sede comunale), Castello (altitudine 900 m s.l.m.), Colle, Corbellino"
Comuni confinanti,"Caporciano, Fontecchio, Prata d'Ansidonia, Rocca di Mezzo, San Demetrio ne' Vestini"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066042
Cod. catastale,D465
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 479 GG[4]"
Nome abitanti,fagnanesi
Patrono,Vari per le varie frazioni. Per il capoluogo - Vallecupa - è S. Donato
Giorno festivo,Vari
Cartografia,Cartografia
Fagnano Alto,Fagnano Alto
Fagnano Alto – MappaPosizione del comune di Fagnano Alto all'interno della provincia dell'Aquila,Fagnano Alto – MappaPosizione del comune di Fagnano Alto all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
