Balsorano comune,Balsorano comune.1
,
Balsorano – VedutaIl castello Piccolomini di Balsorano,Balsorano – VedutaIl castello Piccolomini di Balsorano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Antonella Buffone (Lista civica Balsorano libera) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,41°48′35.35″N 13°33′35.28″E
Altitudine,340 m s.l.m.
Superficie,"58,85 km²"
Abitanti,3 198[1] (30-11-2025)
Densità,"54,34 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Collelongo, Pescosolido (FR), San Vincenzo Valle Roveto, Sora (FR), Veroli (FR), Villavallelonga"
Altre informazioni,Altre informazioni
Cod. postale,67052
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066007
Cod. catastale,A603
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 897 GG[3]"
Nome abitanti,balsoranesi
Patrono,san Giorgio martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Balsorano,Balsorano
Balsorano – MappaPosizione del comune di Balsorano all'interno della provincia dell'Aquila,Balsorano – MappaPosizione del comune di Balsorano all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
