Scoppito comune,Scoppito comune.1
,
Scoppito – VedutaPiazza Vittorio Emanuele II,Scoppito – VedutaPiazza Vittorio Emanuele II
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Loreto Lombardi (Lista Civica Scoppito per tutti) dal 12/06/2022
Territorio,Territorio
Coordinate,42°22′26″N 13°15′21″E
Altitudine,820 m s.l.m.
Superficie,53 km²
Abitanti,3 807[1] (30-11-2025)
Densità,"71,83 ab./km²"
Frazioni,"Casale, Cave, Civitatomassa, Collettara, Cupoli, Forcellette, Madonna della Strada, Ponte San Giovanni, Santa Dorotea, Santa Maria, Scoppito, Sella di Corno, Vallinsù, Vigliano"
Comuni confinanti,"Antrodoco (RI), Fiamignano (RI), L'Aquila, Tornimparte"
Altre informazioni,Altre informazioni
Cod. postale,67019
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066095
Cod. catastale,I546
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 756 GG[3]"
Nome abitanti,scoppitani
Giorno festivo,25 luglio
PIL,(nominale) 93 mln €[4]
PIL procapite,(nominale) 24 856 €[4]
Cartografia,Cartografia
Scoppito,Scoppito
Scoppito – MappaPosizione del comune di Scoppito all'interno della provincia dell'Aquila,Scoppito – MappaPosizione del comune di Scoppito all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
