Fontecchio comune,Fontecchio comune.1
,
Fontecchio – Veduta,Fontecchio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Sabrina Ciancone[1] (Lista Civica Dalla parte di Fontecchio) dal 30-3-2010 (2º mandato)
Territorio,Territorio
Coordinate,42°13′50″N 13°36′24″E
Altitudine,668 m s.l.m.
Superficie,"16,86 km²"
Abitanti,278[2] (30-11-2025)
Densità,"16,49 ab./km²"
Frazioni,San Pio
Comuni confinanti,"Caporciano, Fagnano Alto, Rocca di Mezzo, Tione degli Abruzzi"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066043
Cod. catastale,D681
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 484 GG[4]"
Nome abitanti,fontecchiani o fonticulani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Fontecchio,Fontecchio
Fontecchio – MappaPosizione del comune di Fontecchio all'interno della provincia dell'Aquila,Fontecchio – MappaPosizione del comune di Fontecchio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
