Lucoli comune,Lucoli comune.1
,
Lucoli – VedutaLe Ville di Lucoli da Collimento (sullo sfondo il gruppo montuoso di Monte Calvo a destra e il Terminillo al centro),Lucoli – VedutaLe Ville di Lucoli da Collimento (sullo sfondo il gruppo montuoso di Monte Calvo a destra e il Terminillo al centro)
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Michelangelo Peretti (Lista civica di Centro-sinistra Lucoli al centro) dal 15-5-2023
Territorio,Territorio
Coordinate,42°17′31″N 13°20′20″E
Altitudine,956 m s.l.m.
Superficie,"103,44 km²"
Abitanti,844[1] (30-11-2025)
Densità,"8,16 ab./km²"
Frazioni,"Casamaina, Casavecchia, Colle di Lucoli, Collimento (sede comunale), Francolisco, Lucoli Alto, Peschiolo, Piaggia, Prata, Prato Lonaro, San Menna, Santa Croce, Sant'Andrea, Spogna, Spognetta, Vado Lucoli"
Comuni confinanti,"Borgorose (RI), L'Aquila, Rocca di Cambio, Rocca di Mezzo, Tornimparte"
Altre informazioni,Altre informazioni
Cod. postale,67045
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066052
Cod. catastale,E724
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 3 000 GG[3]"
Nome abitanti,lucolani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Lucoli,Lucoli
Lucoli – MappaPosizione del comune di Lucoli all'interno della provincia dell'Aquila,Lucoli – MappaPosizione del comune di Lucoli all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
