Cappadocia comune,Cappadocia comune.1
,
Cappadocia – VedutaFoto panoramica di Cappadocia con alle spalle il monte Aurunzo,Cappadocia – VedutaFoto panoramica di Cappadocia con alle spalle il monte Aurunzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Lorenzo Lorenzin (Lista civica Cappadocia nel cuore) dall'11-6-2017 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°00′27″N 13°16′51″E
Altitudine,1 108 m s.l.m.
Superficie,"68,58 km²"
Abitanti,588[1] (30-11-2025)
Densità,"8,57 ab./km²"
Frazioni,"Camporotondo, Petrella Liri, Verrecchie"
Comuni confinanti,"Camerata Nuova (RM), Castellafiume, Filettino (FR), Pereto, Rocca di Botte, Tagliacozzo, Vallepietra (RM)"
Altre informazioni,Altre informazioni
Cod. postale,67060
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066023
Cod. catastale,B677
Targa,AQ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 272 GG[3]"
Nome abitanti,cappadociani
Patrono,san Biagio santa Margherita
Giorno festivo,3 febbraio
Cartografia,Cartografia
Cappadocia,Cappadocia
Cappadocia – MappaPosizione del comune di Cappadocia all'interno della provincia dell'Aquila,Cappadocia – MappaPosizione del comune di Cappadocia all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
