Capitignano comune,Capitignano comune.1
,
Capitignano – VedutaVisuale di Capitignano da Montereale.,Capitignano – VedutaVisuale di Capitignano da Montereale.
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Franco Pucci (Lista Civica Progetto comune) dal 04-10-2021
Territorio,Territorio
Coordinate,42°31′13.48″N 13°18′04.39″E
Altitudine,916 m s.l.m.
Superficie,"30,64 km²"
Abitanti,599[1] (30-11-2025)
Densità,"19,55 ab./km²"
Frazioni,"Aglioni, Collenoveri, Mopolino, Pago, Paterno, Sivignano"
Comuni confinanti,"Campotosto, L'Aquila, Montereale, Pizzoli"
Altre informazioni,Altre informazioni
Cod. postale,67014
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066021
Cod. catastale,B658
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 928 GG[3]"
Nome abitanti,capitignanari
Patrono,"san Flaviano, Patriarca di Costantinopoli e Martire"
Giorno festivo,24 novembre
Cartografia,Cartografia
Capitignano,Capitignano
Capitignano – MappaPosizione del comune di Capitignano all'interno della provincia dell'Aquila,Capitignano – MappaPosizione del comune di Capitignano all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
