Rocca di Botte comune,Rocca di Botte comune.1
,
Rocca di Botte – VedutaVeduta di Rocca di Botte,Rocca di Botte – VedutaVeduta di Rocca di Botte
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Fernando Antonio Marzolini (Lista civica Polis Nova) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°01′38″N 13°04′07″E
Altitudine,750 m s.l.m.
Superficie,"31,1 km²"
Abitanti,890[1] (30-11-2025)
Densità,"28,62 ab./km²"
Comuni confinanti,"Arsoli (RM), Camerata Nuova (RM), Cappadocia, Cervara di Roma (RM), Oricola, Pereto"
Altre informazioni,Altre informazioni
Cod. postale,67066
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066080
Cod. catastale,H399
Targa,AQ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 631 GG[3]"
Nome abitanti,roccatani
Patrono,san Pietro l'eremita
Giorno festivo,30 agosto
Cartografia,Cartografia
Rocca di Botte,Rocca di Botte
Rocca di Botte – MappaPosizione del comune di Rocca di Botte all'interno della provincia dell'Aquila,Rocca di Botte – MappaPosizione del comune di Rocca di Botte all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
