Scanno comune,Scanno comune.1
,
Scanno – VedutaVista del centro storico di Scanno,Scanno – VedutaVista del centro storico di Scanno
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giovanni Mastrogiovanni (lista civica Scanno è di tutti) dal 10-6-2018
Territorio,Territorio
Coordinate,41°54′09.51″N 13°52′47.62″E
Altitudine,1 050 m s.l.m.
Superficie,"134,68 km²"
Abitanti,1 664[1] (30-11-2025)
Densità,"12,36 ab./km²"
Frazioni,Frattura
Comuni confinanti,"Anversa degli Abruzzi, Barrea, Bisegna, Bugnara, Civitella Alfedena, Introdacqua, Opi, Pescasseroli, Pettorano sul Gizio, Rivisondoli, Rocca Pia, Villalago, Villetta Barrea"
Altre informazioni,Altre informazioni
Cod. postale,67038
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066093
Cod. catastale,I501
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 160 GG[3]"
Nome abitanti,scannesi
Patrono,sant'Eustachio
Giorno festivo,20 settembre
Cartografia,Cartografia
Scanno,Scanno
Scanno – MappaPosizione del comune di Scanno all'interno della provincia dell'Aquila,Scanno – MappaPosizione del comune di Scanno all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
