Pescocostanzo comune,Pescocostanzo comune.1
,
Pescocostanzo – VedutaIl centro storico di Pescocostanzo,Pescocostanzo – VedutaIl centro storico di Pescocostanzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Roberto Sciullo[1] (lista civica Alternativa democratica) dal 1-6-2015
Territorio,Territorio
Coordinate,41°53′14″N 14°03′59″E
Altitudine,1 395 m s.l.m.
Superficie,"55,06 km²"
Abitanti,1 076[2] (30-11-2025)
Densità,"19,54 ab./km²"
Frazioni,Sant'Antonio Bosco
Comuni confinanti,"Ateleta, Cansano, Palena (CH), Pettorano sul Gizio, Rivisondoli, Rocca Pia, Roccaraso"
Altre informazioni,Altre informazioni
Cod. postale,67033
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066070
Cod. catastale,G493
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 503 GG[4]"
Nome abitanti,pescolani
Patrono,san Felice martire
Giorno festivo,8 agosto
PIL,"(nominale) 14,9 mln €[5]"
PIL procapite,(nominale) 17 238 €[5]
Cartografia,Cartografia
Pescocostanzo,Pescocostanzo
Pescocostanzo – MappaPosizione del comune di Pescocostanzo all'interno della provincia dell'Aquila,Pescocostanzo – MappaPosizione del comune di Pescocostanzo all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
