Aielli comune,Aielli comune.1
,
Aielli – VedutaPanoramica di Aielli Alto,Aielli – VedutaPanoramica di Aielli Alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Enzo Di Natale (Lista civica Il futuro in Comune) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°04′53.26″N 13°35′28.07″E
Altitudine,1 021 m s.l.m.
Superficie,"37,52 km²"
Abitanti,1 375[1] (30-11-2025)
Densità,"36,65 ab./km²"
Frazioni,"Aielli Stazione, Borgo Sardellino"
Comuni confinanti,"Celano, Cerchio, Collarmele, Ovindoli, San Benedetto dei Marsi"
Altre informazioni,Altre informazioni
Cod. postale,67041
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066002
Cod. catastale,A100
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 116 GG[3]"
Nome abitanti,aiellesi
Patrono,Madonna della Vittoria
Giorno festivo,7 luglio
Soprannome,La terrazza sulla Marsica[4]
Cartografia,Cartografia
Aielli,Aielli
Aielli – MappaPosizione del comune di Aielli all'interno della provincia dell'Aquila,Aielli – MappaPosizione del comune di Aielli all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
