Scurcola Marsicana comune,Scurcola Marsicana comune.1
,
Scurcola Marsicana – VedutaVeduta di Scurcola Marsicana,Scurcola Marsicana – VedutaVeduta di Scurcola Marsicana
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Nicola De Simone (Lista civica Uniti rinasciamo) dal 4-10-2021
Territorio,Territorio
Coordinate,42°03′51″N 13°20′24″E
Altitudine,700 m s.l.m.
Superficie,"30,38 km²"
Abitanti,2 693[1] (30-11-2025)
Densità,"88,64 ab./km²"
Frazioni,Cappelle dei Marsi
Comuni confinanti,"Avezzano, Capistrello, Magliano de' Marsi, Massa d'Albe, Tagliacozzo"
Altre informazioni,Altre informazioni
Cod. postale,67068
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066096
Cod. catastale,I553
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,scurcolani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Scurcola Marsicana,Scurcola Marsicana
Scurcola Marsicana – MappaPosizione del comune di Scurcola Marsicana all'interno della provincia dell'Aquila,Scurcola Marsicana – MappaPosizione del comune di Scurcola Marsicana all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
