Pacentro comune,Pacentro comune.1
,
Pacentro – VedutaVeduta di Pacentro,Pacentro – VedutaVeduta di Pacentro
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giuseppe Silvestri[1] (lista civica di centro-destra Unione e futuro per Pacentro) dal 10-6-2024
Territorio,Territorio
Coordinate,42°03′01.55″N 13°59′29.44″E
Altitudine,690 m s.l.m.
Superficie,"72,59 km²"
Abitanti,1 058[2] (30-11-2025)
Densità,"14,58 ab./km²"
Frazioni,Passo San Leonardo
Comuni confinanti,"Campo di Giove, Cansano, Fara San Martino (CH), Lama dei Peligni (CH), Palena (CH), Sant'Eufemia a Maiella (PE), Sulmona, Taranta Peligna (CH)"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066066
Cod. catastale,G210
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 524 GG[4]"
Nome abitanti,pacentrani
Patrono,Madonna della Misericordia
Giorno festivo,8 maggio
PIL,"(nominale) 13,6 mln € (2022)[5]"
PIL procapite,(nominale) 16 282 € (2022)[5]
Cartografia,Cartografia
Pacentro,Pacentro
Pacentro – MappaPosizione del comune di Pacentro all'interno della provincia dell'Aquila,Pacentro – MappaPosizione del comune di Pacentro all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
