Montereale comune,Montereale comune.1
,
Montereale – VedutaVista dell'abitato principale di Montereale (sullo sfondo la parte nord del Gran Sasso),Montereale – VedutaVista dell'abitato principale di Montereale (sullo sfondo la parte nord del Gran Sasso)
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Massimiliano Giorgi (lista civica) dall'8-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,42°31′22″N 13°14′55″E
Altitudine,948 m s.l.m.
Superficie,"104,42 km²"
Abitanti,2 180[1] (30-11-2025)
Densità,"20,88 ab./km²"
Frazioni,"Aringo, Busci, Cabbia, Casale Bottone, Castello, Castel Paganica, Castiglione, Cavagnano, Cavallari, Cesaproba, Cesariano, Colle, Colle Cavallari, Colle Calvo, Colle Paganica, Colle Verrico, Marana, Marignano, Madonna In Pantanis, Pellescritta, Piedicolle, San Giovanni Paganica, Santa Lucia, Santa Vittoria, San Vito, Verrico, Ville di Fano"
Comuni confinanti,"Amatrice (RI), Barete, Borbona (RI), Cagnano Amiterno, Campotosto, Capitignano, Cittareale (RI), Pizzoli, Posta (RI)"
Altre informazioni,Altre informazioni
Cod. postale,67015
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066056
Cod. catastale,F595
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 980 GG[3]"
Nome abitanti,monterealesi
Patrono,beato Andrea da Montereale
Giorno festivo,13 settembre
Cartografia,Cartografia
Montereale,Montereale
Montereale – MappaPosizione del comune di Montereale all'interno della provincia dell'Aquila,Montereale – MappaPosizione del comune di Montereale all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
