Sulmona comune,Sulmona comune.1
,
Sulmona – Veduta,Sulmona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Luca Tirabassi[1] (indipendente di centro-destra) dal 26-5-2025
Territorio,Territorio
Coordinate,42°02′52.89″N 13°55′34.31″E
Altitudine,405 m s.l.m.
Superficie,"57,93 km²"
Abitanti,21 626[2] (30-11-2025)
Densità,"373,31 ab./km²"
Frazioni,"Acqua Santa, Albanese, Cavate, Badia, Bagnaturo, Banchette, Case Bruciate, Case Lomini, Case Panetto, Case Susi Primo, Case Susi Secondo, Casino Corvi, Faiella, Fonte d'Amore, Le Marane, Santa Lucia, Torrone, Tratturo Primo, Tratturo Secondo, Vallecorvo, Zappannotte"
Comuni confinanti,"Bugnara, Cansano, Caramanico Terme (PE), Introdacqua, Pacentro, Pettorano sul Gizio, Pratola Peligna, Prezza, Salle (PE), Sant'Eufemia a Maiella (PE)"
Altre informazioni,Altre informazioni
Cod. postale,67039
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066098
Cod. catastale,I804
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 2 038 GG[4]"
Nome abitanti,sulmonesi sulmontini (dial.)
Patrono,Panfilo di Sulmona
Giorno festivo,28 aprile
PIL,(nominale) 354 mln € (2022)[5]
PIL procapite,(nominale) 21 312 € (2022)[5]
Motto,"(LA) Sulmo Mihi Patria Est ""Sulmona è la mia patria"""
Cartografia,Cartografia
Sulmona,Sulmona
Sulmona – MappaPosizione del comune di Sulmona all'interno della provincia dell'Aquila,Sulmona – MappaPosizione del comune di Sulmona all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
