Bugnara comune,Bugnara comune.1
,
Bugnara – VedutaVeduta del castello dopo il terremoto del 2009,Bugnara – VedutaVeduta del castello dopo il terremoto del 2009
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Domenico Taglieri[1] (lista civica Patto per Bugnara) dal 3-12-2022
Territorio,Territorio
Coordinate,42°01′29″N 13°51′44″E
Altitudine,580 m s.l.m.
Superficie,"25,12 km²"
Abitanti,1 001[2] (30-11-2025)
Densità,"39,85 ab./km²"
Frazioni,"Faiella, Paccucci, Stazione Anversa - Villalago Scanno, Torre dei Nolfi"
Comuni confinanti,"Anversa degli Abruzzi, Cocullo, Introdacqua, Prezza, Scanno, Sulmona"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066012
Cod. catastale,B256
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 327 GG[4]"
Nome abitanti,bugnaresi
Patrono,S. Magno e S. Vittorino
Giorno festivo,4 e 5 settembre
Cartografia,Cartografia
Bugnara,Bugnara
Bugnara – MappaPosizione del comune di Bugnara all'interno della provincia dell'Aquila,Bugnara – MappaPosizione del comune di Bugnara all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
