Castel di Ieri comune,Castel di Ieri comune.1
,
Castel di Ieri – VedutaVista del paese dalla parte bassa,Castel di Ieri – VedutaVista del paese dalla parte bassa
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Fernando Fabrizio (lista civica) dal 30-3-2010
Territorio,Territorio
Coordinate,42°06′58″N 13°44′37″E
Altitudine,519 m s.l.m.
Superficie,"18,88 km²"
Abitanti,274[1] (30-11-2025)
Densità,"14,51 ab./km²"
Comuni confinanti,"Castelvecchio Subequo, Cocullo, Goriano Sicoli, Raiano"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066027
Cod. catastale,C090
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 217 GG[3]"
Nome abitanti,casteldieresi
Patrono,San Donato Martire
Giorno festivo,3 settembre
Cartografia,Cartografia
Castel di Ieri,Castel di Ieri
Castel di Ieri – MappaPosizione del comune di Castel di Ieri all'interno della provincia dell'Aquila,Castel di Ieri – MappaPosizione del comune di Castel di Ieri all'interno della provincia dell'Aquila
[comune.casteldiieri.aq.it Sito istituzionale],[comune.casteldiieri.aq.it Sito istituzionale]
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
