Castelvecchio Calvisio comune,Castelvecchio Calvisio comune.1
,
Castelvecchio Calvisio – VedutaIl paese arroccato,Castelvecchio Calvisio – VedutaIl paese arroccato
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Luigina Antonacci (lista civica Insieme verso il progresso) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°18′44″N 13°41′17″E
Altitudine,1 045 m s.l.m.
Superficie,"15,32 km²"
Abitanti,126[1] (30-11-2025)
Densità,"8,22 ab./km²"
Comuni confinanti,"Barisciano, Calascio, Capestrano, Carapelle Calvisio, Castelli (TE), Isola del Gran Sasso d'Italia (TE), Navelli, Ofena, San Pio delle Camere, Santo Stefano di Sessanio"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066030
Cod. catastale,C278
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 206 GG[3]"
Nome abitanti,castelvecchiesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Castelvecchio Calvisio,Castelvecchio Calvisio
Castelvecchio Calvisio – MappaPosizione del comune di Castelvecchio Calvisio all'interno della provincia dell'Aquila,Castelvecchio Calvisio – MappaPosizione del comune di Castelvecchio Calvisio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
