Ortucchio comune,Ortucchio comune.1
,
Ortucchio – VedutaIl castello Piccolomini,Ortucchio – VedutaIl castello Piccolomini
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Raffaele Favoriti (Lista civica Ortucchio che vogliamo) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°57′22″N 13°38′48″E
Altitudine,680 m s.l.m.
Superficie,39 km²
Abitanti,1 734[1] (30-11-2025)
Densità,"44,46 ab./km²"
Comuni confinanti,"Collelongo, Gioia dei Marsi, Lecce nei Marsi, Pescina, Trasacco"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066064
Cod. catastale,G145
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 534 GG[3]"
Nome abitanti,ortucchiesi
Patrono,sant'Orante
Giorno festivo,28 settembre
Cartografia,Cartografia
Ortucchio,Ortucchio
Ortucchio – MappaPosizione del comune di Ortucchio all'interno della provincia dell'Aquila,Ortucchio – MappaPosizione del comune di Ortucchio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
