Pettorano sul Gizio comune,Pettorano sul Gizio comune.1
,
Pettorano sul Gizio – VedutaVista del paese,Pettorano sul Gizio – VedutaVista del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Antonio Carrara[1] (lista civica Il mulino 2020) dal 22-9-2020
Territorio,Territorio
Coordinate,41°58′32″N 13°57′35″E
Altitudine,656 m s.l.m.
Superficie,"62,85 km²"
Abitanti,1 259[2] (30-11-2025)
Densità,"20,03 ab./km²"
Frazioni,"Conca, Frascate, Vallelarga, Vallepescara"
Comuni confinanti,"Cansano, Introdacqua, Pescocostanzo, Rocca Pia, Scanno, Sulmona"
Altre informazioni,Altre informazioni
Cod. postale,67034
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066071
Cod. catastale,G524
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 407 GG[4]"
Nome abitanti,pettoranesi
Patrono,Santa Margherita
Giorno festivo,13 luglio
Cartografia,Cartografia
Pettorano sul Gizio,Pettorano sul Gizio
Pettorano sul Gizio – MappaPosizione del comune di Pettorano sul Gizio all'interno della provincia dell'Aquila,Pettorano sul Gizio – MappaPosizione del comune di Pettorano sul Gizio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
