Cagnano Amiterno comune,Cagnano Amiterno comune.1
,
Cagnano Amiterno – VedutaTermine di Cagnano,Cagnano Amiterno – VedutaTermine di Cagnano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Iside Di Martino[1] (lista civica Noi per Cagnano - PD) dal 31-5-2015
Territorio,Territorio
Coordinate,42°27′30″N 13°13′44″E
Altitudine,841 m s.l.m.
Superficie,"61,32 km²"
Abitanti,1 074[2] (30-11-2025)
Densità,"17,51 ab./km²"
Frazioni,"Corruccioni, Fiugni, San Giovanni, Termine, Torre"
Comuni confinanti,"Antrodoco (RI), Barete, Borbona (RI), L'Aquila, Montereale"
Altre informazioni,Altre informazioni
Cod. postale,67012
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066013
Cod. catastale,B358
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 754 GG[4]"
Nome abitanti,cagnanesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Cagnano Amiterno,Cagnano Amiterno
Cagnano Amiterno – MappaPosizione del comune di Cagnano Amiterno all'interno della provincia dell'Aquila,Cagnano Amiterno – MappaPosizione del comune di Cagnano Amiterno all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
