Celano comune,Celano comune.1
,
Celano – VedutaIl castello Piccolomini nel centro storico di Celano,Celano – VedutaIl castello Piccolomini nel centro storico di Celano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Settimio Santilli (liste civiche di centro-destra) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°05′03.5″N 13°32′51.9″E
Altitudine,840 m s.l.m.
Superficie,"82,8 km²"
Abitanti,10 123[1] (30-11-2025)
Densità,"122,26 ab./km²"
Frazioni,"Borgo Ottomila, Borgo Strada 14"
Comuni confinanti,"Aielli, Avezzano, Castelvecchio Subequo, Cerchio, Collarmele, Gagliano Aterno, Luco dei Marsi, Ovindoli, Pescina, San Benedetto dei Marsi, Secinaro, Trasacco"
Altre informazioni,Altre informazioni
Cod. postale,67043
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066032
Cod. catastale,C426
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 720 GG[3]"
Nome abitanti,celanesi
Patrono,"santi Simplicio, Costanzo e Vittoriano"
Giorno festivo,26 agosto
Cartografia,Cartografia
Celano,Celano
Celano – MappaPosizione del comune di Celano all'interno della provincia dell'Aquila,Celano – MappaPosizione del comune di Celano all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
