Provincia dell'Aquila provincia,Provincia dell'Aquila provincia.1
,
Provincia dell'Aquila – VedutaVeduta della Piazza del Duomo all'Aquila,Provincia dell'Aquila – VedutaVeduta della Piazza del Duomo all'Aquila
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Amministrazione,Amministrazione
Capoluogo,L'Aquila
Presidente,Angelo Caruso[1] (indipendente) dal 31-7-2017 (2º mandato dal 21-12-2025)
Data di istituzione,8 agosto 1806
Territorio,Territorio
Coordinate del capoluogo,42°21′58″N 13°23′40″E
Superficie,"5 047,55 km²"
Abitanti,286 720[2] (30-9-2025)
Densità,"56,8 ab./km²"
Comuni,108 comuni
Province confinanti,"Teramo, Pescara, Chieti, Isernia (Molise), Frosinone (Lazio), Roma (Lazio), Rieti (Lazio)"
Altre informazioni,Altre informazioni
Cod. postale,"67100, 67010, 67012, 67014, 67015, 67017, 67019-67041, 67043-67064, 67066-67069"
Prefisso,"0862, 0863, 0864"
Fuso orario,UTC+1
ISO 3166-2,IT-AQ
Codice ISTAT,066
Targa,AQ
PIL,"(nominale) 7 607,54 mln €[3](2021)"
PIL procapite,(nominale) 26 548 €[3](2021)
Cartografia,Cartografia
Provincia dell'Aquila – Localizzazione,Provincia dell'Aquila – Localizzazione
Provincia dell'Aquila – MappaPosizione della provincia dell'Aquila all'interno dell'Abruzzo.,Provincia dell'Aquila – MappaPosizione della provincia dell'Aquila all'interno dell'Abruzzo.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
