Molina Aterno comune,Molina Aterno comune.1
,
Molina Aterno – Veduta,Molina Aterno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Luigi Fasciani[1][2][3][4] (lista civica Progresso e libertà) dal 1-6-2015
Territorio,Territorio
Coordinate,42°09′00″N 13°44′11″E
Altitudine,512 m s.l.m.
Superficie,"12,21 km²"
Abitanti,328[5] (30-11-2025)
Densità,"26,86 ab./km²"
Comuni confinanti,"Acciano, Castelvecchio Subequo, Raiano, San Benedetto in Perillis, Secinaro, Vittorito"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066055
Cod. catastale,M255
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[6]
Cl. climatica,"zona E, 2 205 GG[7]"
Nome abitanti,molinesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Molina Aterno,Molina Aterno
Molina Aterno – MappaPosizione del comune di Molina Aterno all'interno della provincia dell'Aquila,Molina Aterno – MappaPosizione del comune di Molina Aterno all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
