Rocca Pia comune,Rocca Pia comune.1
,
Rocca Pia – VedutaVeduta di Rocca Pia,Rocca Pia – VedutaVeduta di Rocca Pia
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Pasquale Berarducci[1] (lista civica Rocca Pia tradizione e futuro) dal 22-9-2020
Territorio,Territorio
Coordinate,41°56′04″N 13°58′40″E
Altitudine,1 050 m s.l.m.
Superficie,"44,96 km²"
Abitanti,158[2] (30-11-2025)
Densità,"3,51 ab./km²"
Comuni confinanti,"Pescocostanzo, Pettorano sul Gizio, Rivisondoli, Scanno"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066083
Cod. catastale,H429
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 402 GG[4]"
Nome abitanti,roccolani
Giorno festivo,19 marzo
Cartografia,Cartografia
Rocca Pia,Rocca Pia
Rocca Pia – MappaPosizione del comune di Rocca Pia all'interno della provincia dell'Aquila,Rocca Pia – MappaPosizione del comune di Rocca Pia all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
