Cerchio comune,Cerchio comune.1
,
Cerchio – VedutaPanoramica di Cerchio,Cerchio – VedutaPanoramica di Cerchio
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Gianfranco Tedeschi (Lista civica Cerchio nel cuore) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°03′43″N 13°36′09″E
Altitudine,834 m s.l.m.
Superficie,"20,17 km²"
Abitanti,1 540[1] (30-11-2025)
Densità,"76,35 ab./km²"
Comuni confinanti,"Aielli, Celano, Collarmele, San Benedetto dei Marsi"
Altre informazioni,Altre informazioni
Cod. postale,67044
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066033
Cod. catastale,C492
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 781 GG[3]"
Nome abitanti,cerchiesi
Patrono,santi Giovanni e Paolo
Giorno festivo,Ultima domenica di giugno
Cartografia,Cartografia
Cerchio,Cerchio
Cerchio – MappaPosizione del comune di Cerchio all'interno della provincia dell'Aquila,Cerchio – MappaPosizione del comune di Cerchio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
