Magliano de' Marsi comune,Magliano de' Marsi comune.1
,
Magliano de' Marsi – VedutaVeduta di Magliano de' Marsi,Magliano de' Marsi – VedutaVeduta di Magliano de' Marsi
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Pasqualino Di Cristofano (Lista civica Benvenuto futuro) dal 22-9-2020
Territorio,Territorio
Coordinate,42°05′33″N 13°21′53″E
Altitudine,728 m s.l.m.
Superficie,"70,93 km²"
Abitanti,3 402[1] (30-11-2025)
Densità,"47,96 ab./km²"
Frazioni,"Marano dei Marsi, Rosciolo dei Marsi"
Comuni confinanti,"Borgorose (RI), L'Aquila, Massa d'Albe, Rocca di Mezzo, Sante Marie, Scurcola Marsicana, Tagliacozzo"
Altre informazioni,Altre informazioni
Cod. postale,67062
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066053
Cod. catastale,E811
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 620 GG[3]"
Nome abitanti,maglianesi
Patrono,santi Giovanni e Paolo santa Lucia
Giorno festivo,ultimo fine settimana di giugno
Cartografia,Cartografia
Magliano de' Marsi,Magliano de' Marsi
Magliano de' Marsi – MappaPosizione del comune di Magliano de' Marsi all'interno della provincia dell'Aquila,Magliano de' Marsi – MappaPosizione del comune di Magliano de' Marsi all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
