L'Aquila comune,L'Aquila comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
L'Aquila – VedutaPiazza Duomo,L'Aquila – VedutaPiazza Duomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Pierluigi Biondi (FdI) dal 28-6-2017 (2º mandato dal 20-6-2022)
Territorio,Territorio
Coordinate,42°21′14.43″N 13°23′31.17″E
Altitudine,714 m s.l.m.
Superficie,"473,91 km²"
Abitanti,70 797[1] (30-11-2025)
Densità,"149,39 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Antrodoco (RI), Barete, Barisciano, Borgorose (RI), Cagnano Amiterno, Campotosto, Capitignano, Crognaleto (TE), Fano Adriano (TE), Fossa, Isola del Gran Sasso d'Italia (TE), Lucoli, Magliano de' Marsi, Ocre, Pietracamela (TE), Pizzoli, Rocca di Cambio, Rocca di Mezzo, Santo Stefano di Sessanio, Scoppito, Tornimparte"
Altre informazioni,Altre informazioni
Cod. postale,67100
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066049
Cod. catastale,A345
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,aquilani
Patrono,"san Massimo, san Bernardino da Siena"
Giorno festivo,"10 giugno, 20 maggio"
PIL,(nominale) 1 519 mln € (2021)[4]
PIL procapite,"(nominale) 21 860,5 € (2021)[4]"
Motto,Immota Manet
Cartografia,Cartografia
L'Aquila,L'Aquila
L'Aquila – MappaPosizione del comune dell'Aquila nella sua provincia,L'Aquila – MappaPosizione del comune dell'Aquila nella sua provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
