Villa Sant'Angelo comune,Villa Sant'Angelo comune.1
,
Villa Sant'Angelo – VedutaVeduta,Villa Sant'Angelo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Domenico Nardis[1] (lista civica Uniti per Villa e Tussillo) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°16′17″N 13°32′17″E
Altitudine,570 m s.l.m.
Superficie,"5,22 km²"
Abitanti,508[2] (30-11-2025)
Densità,"97,32 ab./km²"
Frazioni,Tussillo
Comuni confinanti,"Rocca di Mezzo, San Demetrio ne' Vestini, Sant'Eusanio Forconese"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066105
Cod. catastale,M023
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 309 GG[4]"
Nome abitanti,villesi
Patrono,san Michele Arcangelo
Giorno festivo,1ª domenica di maggio
Cartografia,Cartografia
Villa Sant'Angelo,Villa Sant'Angelo
Villa Sant'Angelo – MappaPosizione del comune di Villa Sant'Angelo all'interno della provincia dell'Aquila,Villa Sant'Angelo – MappaPosizione del comune di Villa Sant'Angelo all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
