Pescasseroli comune,Pescasseroli comune.1
,
Pescasseroli – VedutaPanoramica di Pescasseroli,Pescasseroli – VedutaPanoramica di Pescasseroli
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giuseppe Sipari (Lista civica Comunità attiva per Pescasseroli) dal 13-6-2022
Territorio,Territorio
Coordinate,41°48′18″N 13°47′23″E
Altitudine,1 167 m s.l.m.
Superficie,"91,17 km²"
Abitanti,1 994[1] (30-11-2025)
Densità,"21,87 ab./km²"
Comuni confinanti,"Alvito (FR), Bisegna, Campoli Appennino (FR), Gioia dei Marsi, Lecce nei Marsi, Opi, San Donato Val di Comino (FR), Scanno, Villavallelonga"
Altre informazioni,Altre informazioni
Cod. postale,67032
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066068
Cod. catastale,G484
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 531 GG[3]"
Nome abitanti,pescasserolesi
Patrono,san Paolo
Giorno festivo,30 giugno
Cartografia,Cartografia
Pescasseroli,Pescasseroli
Pescasseroli – MappaPosizione del comune di Pescasseroli all'interno della provincia dell'Aquila,Pescasseroli – MappaPosizione del comune di Pescasseroli all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
