Lecce nei Marsi comune,Lecce nei Marsi comune.1
,
Lecce nei Marsi – VedutaTorre campanaria di San Martino in Agne,Lecce nei Marsi – VedutaTorre campanaria di San Martino in Agne
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Augusto Barile (lista civica Lecce futura 2022-2027) dal 13-6-2022
Territorio,Territorio
Coordinate,41°56′05″N 13°41′16″E
Altitudine,740 m s.l.m.
Superficie,"66,4 km²"
Abitanti,1 479[1] (30-11-2025)
Densità,"22,27 ab./km²"
Frazioni,"Vallemora, Lecce Vecchio"
Comuni confinanti,"Collelongo, Gioia dei Marsi, Ortucchio, Pescasseroli, Villavallelonga"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066050
Cod. catastale,E505
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,leccesi
Patrono,san Biagio
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Lecce nei Marsi,Lecce nei Marsi
Lecce nei Marsi – MappaPosizione del comune di Lecce nei Marsi all'interno della provincia dell'Aquila,Lecce nei Marsi – MappaPosizione del comune di Lecce nei Marsi all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
