Castellafiume comune,Castellafiume comune.1
,
Castellafiume – VedutaPanoramica di Castellafiume,Castellafiume – VedutaPanoramica di Castellafiume
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giuseppina Perozzi (Lista civica Futuro in comune) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°59′24″N 13°20′07″E
Altitudine,840 m s.l.m.
Superficie,"24,1 km²"
Abitanti,1 078[1] (30-11-2025)
Densità,"44,73 ab./km²"
Frazioni,Pagliara dei Marsi
Comuni confinanti,"Capistrello, Cappadocia, Filettino (FR), Tagliacozzo"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066029
Cod. catastale,C126
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 792 GG[3]"
Nome abitanti,castellani (localmente castellitti)
Patrono,san Nicola di Bari Madonna del Rosario
Giorno festivo,maggio
Cartografia,Cartografia
Castellafiume,Castellafiume
Castellafiume – MappaPosizione del comune di Castellafiume all'interno della provincia dell'Aquila,Castellafiume – MappaPosizione del comune di Castellafiume all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
