Cansano comune,Cansano comune.1
,
Cansano – VedutaUno scorcio di Cansano,Cansano – VedutaUno scorcio di Cansano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Luca Malvestuto[1] (lista civica di centro-sinistra Tutti per Cansano) dal 22-09-2020
Territorio,Territorio
Coordinate,42°00′19″N 14°00′46″E
Altitudine,835 m s.l.m.
Superficie,"37,7 km²"
Abitanti,213[2] (30-11-2025)
Densità,"5,65 ab./km²"
Comuni confinanti,"Campo di Giove, Pacentro, Palena (CH), Pescocostanzo, Pettorano sul Gizio, Sulmona"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066018
Cod. catastale,B624
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 783 GG[4]"
Nome abitanti,cansanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
PIL,"(nominale) 2,8 mln € (2022)[5]"
PIL procapite,(nominale) 14 528 € (2022)[5]
Cartografia,Cartografia
Cansano,Cansano
Cansano – MappaPosizione del comune di Cansano all'interno della provincia dell'Aquila,Cansano – MappaPosizione del comune di Cansano all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
