Pereto comune,Pereto comune.1
,
Pereto – VedutaVeduta di Pereto,Pereto – VedutaVeduta di Pereto
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giacinto Sciò (Lista civica Insieme per il futuro) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°03′38″N 13°05′50.8″E
Altitudine,800 m s.l.m.
Superficie,"41,16 km²"
Abitanti,632[1] (30-11-2025)
Densità,"15,35 ab./km²"
Comuni confinanti,"Cappadocia, Carsoli, Oricola, Rocca di Botte, Tagliacozzo"
Altre informazioni,Altre informazioni
Cod. postale,67064
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066067
Cod. catastale,G449
Targa,AQ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 768 GG[3]"
Nome abitanti,peretani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Pereto,Pereto
Pereto – MappaPosizione del comune di Pereto all'interno della provincia dell'Aquila,Pereto – MappaPosizione del comune di Pereto all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
