Campotosto comune,Campotosto comune.1
,
Campotosto – VedutaIl paese con alle spalle Monte di Mezzo e il lago artificiale sottostante,Campotosto – VedutaIl paese con alle spalle Monte di Mezzo e il lago artificiale sottostante
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Ercole Di Girolami (lista civica Il Lago) dal 04-10-2021
Territorio,Territorio
Coordinate,42°33′31.82″N 13°22′04.76″E
Altitudine,1 420 m s.l.m.
Superficie,"51,73 km²"
Abitanti,430[1] (30-11-2025)
Densità,"8,31 ab./km²"
Frazioni,"Mascioni, Ortolano, Poggio Cancelli, Rio Fucino, Case Isaia[2]"
Comuni confinanti,"Amatrice (RI), Capitignano, Crognaleto (TE), L'Aquila, Montereale"
Altre informazioni,Altre informazioni
Cod. postale,67013
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066016
Cod. catastale,B569
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 807 GG[4]"
Nome abitanti,campotostari
Patrono,Maria Santissima della Visitazione[5][6]
Giorno festivo,2 luglio
Cartografia,Cartografia
Campotosto,Campotosto
Campotosto – MappaPosizione del comune di Campotosto all'interno della provincia dell'Aquila,Campotosto – MappaPosizione del comune di Campotosto all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
