Rocca di Cambio comune,Rocca di Cambio comune.1
,
Rocca di Cambio – VedutaVista del paese dalle pendici meridionali del monte Cagno; sullo sfondo è visibile il Gran Sasso,Rocca di Cambio – VedutaVista del paese dalle pendici meridionali del monte Cagno; sullo sfondo è visibile il Gran Sasso
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Gennarino Di Stefano[1] (lista civica Noi per Rocca di Cambio) dal 30-3-2010 (3º mandato)
Territorio,Territorio
Coordinate,42°14′14″N 13°29′24″E
Altitudine,1 434 m s.l.m.
Superficie,"27,62 km²"
Abitanti,523[2] (30-11-2025)
Densità,"18,94 ab./km²"
Comuni confinanti,"L'Aquila, Lucoli, Ocre, Rocca di Mezzo"
Altre informazioni,Altre informazioni
Cod. postale,67047
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066081
Cod. catastale,H400
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 853 GG[4]"
Nome abitanti,roccacagnesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
PIL,(nominale) 13 mln €[5]
PIL procapite,(nominale) 24 688 €[5]
Cartografia,Cartografia
Rocca di Cambio,Rocca di Cambio
Rocca di Cambio – MappaPosizione del comune di Rocca di Cambio all'interno della provincia dell'Aquila,Rocca di Cambio – MappaPosizione del comune di Rocca di Cambio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
