Goriano Sicoli comune,Goriano Sicoli comune.1
,
Goriano Sicoli – VedutaVista del paese arroccato,Goriano Sicoli – VedutaVista del paese arroccato
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Rodolfo Marganelli (lista civica) dal 30-3-2010
Territorio,Territorio
Coordinate,42°04′54″N 13°46′33″E
Altitudine,720 m s.l.m.
Superficie,"20,24 km²"
Abitanti,523[1] (30-11-2025)
Densità,"25,84 ab./km²"
Comuni confinanti,"Castel di Ieri, Cocullo, Prezza, Raiano"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066047
Cod. catastale,E096
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 527 GG[3]"
Nome abitanti,gorianesi
Patrono,Santa Gemma Reclusa
Giorno festivo,"11, 12 e 13 maggio"
Cartografia,Cartografia
Goriano Sicoli,Goriano Sicoli
Goriano Sicoli – MappaPosizione del comune di Goriano Sicoli all'interno della provincia dell'Aquila,Goriano Sicoli – MappaPosizione del comune di Goriano Sicoli all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
