Castelvecchio Subequo comune,Castelvecchio Subequo comune.1
,
Castelvecchio Subequo – Veduta,Castelvecchio Subequo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Marisa Valeri[1] (lista civica Siamo Castelvecchio) dal 03-10-2020 (1º mandato)
Territorio,Territorio
Coordinate,42°07′52″N 13°43′43″E
Altitudine,490 m s.l.m.
Superficie,"19,29 km²"
Abitanti,798[2] (30-11-2025)
Densità,"41,37 ab./km²"
Comuni confinanti,"Castel di Ieri, Celano, Cocullo, Gagliano Aterno, Molina Aterno, Ortona dei Marsi, Pescina, Raiano, Secinaro"
Altre informazioni,Altre informazioni
Cod. postale,67024
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066031
Cod. catastale,C279
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 166 GG[4]"
Nome abitanti,castelvecchiesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castelvecchio Subequo,Castelvecchio Subequo
Castelvecchio Subequo – MappaPosizione del comune di Castelvecchio Subequo all'interno della provincia dell'Aquila,Castelvecchio Subequo – MappaPosizione del comune di Castelvecchio Subequo all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
