Corfinio comune,Corfinio comune.1
,
Corfinio – VedutaConcattedrale di San Pelino,Corfinio – VedutaConcattedrale di San Pelino
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Romeo Contestabile (lista civica Corfinium rinasce) dal 20-9-2020
Territorio,Territorio
Coordinate,42°07′29″N 13°50′33″E
Altitudine,346 m s.l.m.
Superficie,"17,95 km²"
Abitanti,949[1] (30-11-2025)
Densità,"52,87 ab./km²"
Comuni confinanti,"Popoli Terme (PE), Pratola Peligna, Raiano, Roccacasale, Salle (PE), Tocco da Casauria (PE), Vittorito"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066041
Cod. catastale,C999
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 908 GG[3]"
Nome abitanti,corfiniesi
Patrono,sant'Alessandro
Giorno festivo,3 maggio
Cartografia,Cartografia
Corfinio,Corfinio
Corfinio – MappaPosizione del comune di Corfinio all'interno della provincia dell'Aquila,Corfinio – MappaPosizione del comune di Corfinio all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
