Sant'Eusanio Forconese comune,Sant'Eusanio Forconese comune.1
,
Sant'Eusanio Forconese – Vedutail castello,Sant'Eusanio Forconese – Vedutail castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,"Deborah Visconti[1] (Lista civica ""Progetto futuro"") dal 13-06-2022"
Territorio,Territorio
Coordinate,42°17′18.2″N 13°31′27.98″E
Altitudine,591 m s.l.m.
Superficie,"7,94 km²"
Abitanti,364[2] (30-11-2025)
Densità,"45,84 ab./km²"
Frazioni,Casentino
Comuni confinanti,"Fossa, Ocre, Poggio Picenze, Rocca di Mezzo, San Demetrio ne' Vestini, Villa Sant'Angelo"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066090
Cod. catastale,I336
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 346 GG[4]"
Nome abitanti,santeusaniesi
Patrono,sant'Eusanio
Giorno festivo,9 luglio
Cartografia,Cartografia
Sant'Eusanio Forconese,Sant'Eusanio Forconese
Sant'Eusanio Forconese – MappaPosizione del comune di Sant'Eusanio Forconese all'interno della provincia dell'Aquila,Sant'Eusanio Forconese – MappaPosizione del comune di Sant'Eusanio Forconese all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
