Morino comune,Morino comune.1
,
Morino – VedutaScorcio fotografico di Morino,Morino – VedutaScorcio fotografico di Morino
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Roberto D'Amico (Lista civica Presente e futuro) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,41°51′55″N 13°27′28″E
Altitudine,443 m s.l.m.
Superficie,"51,28 km²"
Abitanti,1 277[1] (30-11-2025)
Densità,"24,9 ab./km²"
Frazioni,"Brecciose, Grancia, Morino Vecchio e Rendinara"
Comuni confinanti,"Alatri (FR), Civita d'Antino, Civitella Roveto, Filettino (FR), Guarcino (FR), San Vincenzo Valle Roveto, Veroli (FR), Vico nel Lazio (FR)"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066057
Cod. catastale,F732
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 081 GG[3]"
Nome abitanti,morinesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Morino,Morino
Morino – MappaPosizione del comune di Morino all'interno della provincia dell'Aquila,Morino – MappaPosizione del comune di Morino all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
