Gioia dei Marsi comune,Gioia dei Marsi comune.1
,
Gioia dei Marsi – VedutaMunicipio in piazza della Repubblica,Gioia dei Marsi – VedutaMunicipio in piazza della Repubblica
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Gianluca Alfonsi (Lista civica Cambiare per rinascere) dal 13-6-2022
Territorio,Territorio
Coordinate,41°57′32″N 13°41′27″E
Altitudine,725 m s.l.m.
Superficie,"58,4 km²"
Abitanti,1 683[1] (30-11-2025)
Densità,"28,82 ab./km²"
Frazioni,"Casali d'Aschi, Gioia Vecchio, Sperone"
Comuni confinanti,"Bisegna, Lecce nei Marsi, Ortona dei Marsi, Ortucchio, Pescasseroli, Pescina"
Altre informazioni,Altre informazioni
Cod. postale,67055
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066046
Cod. catastale,E040
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 586 GG[3]"
Nome abitanti,gioiesi
Patrono,san Vincenzo
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Gioia dei Marsi,Gioia dei Marsi
Gioia dei Marsi – MappaPosizione del comune di Gioia dei Marsi all'interno della provincia dell'Aquila,Gioia dei Marsi – MappaPosizione del comune di Gioia dei Marsi all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
