Sante Marie comune,Sante Marie comune.1
,
Sante Marie – VedutaVeduta di Sante Marie,Sante Marie – VedutaVeduta di Sante Marie
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Lorenzo Berardinetti (lista civica di centro-sinistra Con impegno verso il domani) dal 29-3-2010 (3º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°06′16″N 13°12′05″E
Altitudine,850 m s.l.m.
Superficie,"40,82 km²"
Abitanti,1 053[1] (30-11-2025)
Densità,"25,8 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Borgorose (RI), Carsoli, Magliano de' Marsi, Pescorocchiano (RI), Tagliacozzo"
Altre informazioni,Altre informazioni
Cod. postale,67067
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066089
Cod. catastale,I326
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 852 GG[3]"
Nome abitanti,santemariani
Patrono,san Quirico
Giorno festivo,16 luglio
Cartografia,Cartografia
Sante Marie,Sante Marie
Sante Marie – MappaPosizione del comune di Sante Marie all'interno della provincia dell'Aquila,Sante Marie – MappaPosizione del comune di Sante Marie all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
