Rocca di Mezzo comune,Rocca di Mezzo comune.1
,
Rocca di Mezzo – VedutaPanoramica di Rocca di Mezzo,Rocca di Mezzo – VedutaPanoramica di Rocca di Mezzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Emilio Nusca (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°12′21″N 13°31′13″E
Altitudine,1 329 m s.l.m.
Superficie,"90,55 km²"
Abitanti,1 316[1] (30-11-2025)
Densità,"14,53 ab./km²"
Frazioni,"Fonteavignone, Rovere, Terranera"
Comuni confinanti,"Fagnano Alto, Fontecchio, L'Aquila, Lucoli, Magliano de' Marsi, Massa d'Albe, Ocre, Ovindoli, Rocca di Cambio, San Demetrio ne' Vestini, Sant'Eusanio Forconese, Secinaro, Tione degli Abruzzi, Villa Sant'Angelo"
Altre informazioni,Altre informazioni
Cod. postale,67048
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066082
Cod. catastale,H402
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 886 GG[3]"
Nome abitanti,rocchigiani
Patrono,san Leucio
Giorno festivo,11 gennaio
PIL,(nominale) 35 mln €[4]
PIL procapite,(nominale) 22 606 €[4]
Cartografia,Cartografia
Rocca di Mezzo,Rocca di Mezzo
Rocca di Mezzo – MappaPosizione del comune di Rocca di Mezzo all'interno della provincia dell'Aquila,Rocca di Mezzo – MappaPosizione del comune di Rocca di Mezzo all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
