Tagliacozzo comune,Tagliacozzo comune.1
,
Tagliacozzo – VedutaPiazza dell'Obelisco a Tagliacozzo,Tagliacozzo – VedutaPiazza dell'Obelisco a Tagliacozzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Vincenzo Giovagnorio (Lista civica Prospettiva futura) dal 5-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,42°04′10″N 13°15′17″E
Altitudine,741 m s.l.m.
Superficie,"87,4 km²"
Abitanti,6 420[1] (30-11-2025)
Densità,"73,46 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Capistrello, Cappadocia, Carsoli, Castellafiume, Magliano de' Marsi, Pereto, Sante Marie, Scurcola Marsicana"
Altre informazioni,Altre informazioni
Cod. postale,67069
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066099
Cod. catastale,L025
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,tagliacozzani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno e ultima domenica di agosto
Cartografia,Cartografia
Tagliacozzo,Tagliacozzo
Tagliacozzo – MappaPosizione del comune di Tagliacozzo all'interno della provincia dell'Aquila,Tagliacozzo – MappaPosizione del comune di Tagliacozzo all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
