Capestrano comune,Capestrano comune.1
,
Capestrano – VedutaVista di Capestrano,Capestrano – VedutaVista di Capestrano
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Antonio D'Alfonso (lista civica Tre spighe) dall'11-6-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,42°16′10″N 13°46′00″E
Altitudine,465 m s.l.m.
Superficie,"43,66 km²"
Abitanti,815[1] (30-11-2025)
Densità,"18,67 ab./km²"
Frazioni,"Capodacqua, Forca di Penne, Santa Pelagia, Scarafano"
Comuni confinanti,"Brittoli (PE), Bussi sul Tirino (PE), Carapelle Calvisio, Castelvecchio Calvisio, Corvara (PE), Navelli, Ofena, Pescosansonesco (PE), Villa Santa Lucia degli Abruzzi"
Altre informazioni,Altre informazioni
Cod. postale,67022
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066019
Cod. catastale,B651
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 121 GG[3]"
Nome abitanti,capestranesi
Patrono,san Giovanni da Capestrano
Giorno festivo,23 ottobre
Cartografia,Cartografia
Capestrano,Capestrano
Capestrano – MappaPosizione del comune di Capestrano all'interno della provincia dell'Aquila,Capestrano – MappaPosizione del comune di Capestrano all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
