Luco dei Marsi comune,Luco dei Marsi comune.1
,
Luco dei Marsi – VedutaChiesa di San Giovanni Battista nel centro storico di Luco,Luco dei Marsi – VedutaChiesa di San Giovanni Battista nel centro storico di Luco
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giorgio Giovannone (Vicesindaco F.F.)[1] dal 7-12-2025
Territorio,Territorio
Coordinate,41°57′40.72″N 13°28′06.63″E
Altitudine,680 m s.l.m.
Superficie,"44,87 km²"
Abitanti,5 930[2] (30-11-2025)
Densità,"132,16 ab./km²"
Frazioni,Petogna
Comuni confinanti,"Avezzano, Canistro, Capistrello, Celano, Civita d'Antino, Civitella Roveto, Trasacco"
Altre informazioni,Altre informazioni
Cod. postale,67056
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066051
Cod. catastale,E723
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 619 GG[4]"
Nome abitanti,luchesi
Patrono,san Bonifacio IV[5]
Giorno festivo,seconda metà di agosto
Cartografia,Cartografia
Luco dei Marsi,Luco dei Marsi
Luco dei Marsi – MappaPosizione del comune di Luco dei Marsi all'interno della provincia dell'Aquila,Luco dei Marsi – MappaPosizione del comune di Luco dei Marsi all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
