Ocre comune,Ocre comune.1
,
Ocre – Veduta,Ocre – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Gianmatteo Riocci[1] (Lista Civica Il Coraggio di cambiare) dal 20-9-2020
Territorio,Territorio
Coordinate,42°17′10.18″N 13°28′30.65″E
Altitudine,850 m s.l.m.
Superficie,"23,6 km²"
Abitanti,1 094[2] (30-11-2025)
Densità,"46,36 ab./km²"
Frazioni,"Cavalletto, San Felice, San Martino, San Panfilo d'Ocre (sede comunale), Valle"
Comuni confinanti,"Fossa, L'Aquila, Rocca di Cambio, Rocca di Mezzo, Sant'Eusanio Forconese"
Altre informazioni,Altre informazioni
Cod. postale,67040
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066059
Cod. catastale,F996
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 810 GG[4]"
Nome abitanti,ocrensi
Patrono,san Pietro
Giorno festivo,29 giugno
PIL,(nominale) 27 mln €[5]
PIL procapite,(nominale) 22 692 €[5]
Cartografia,Cartografia
Ocre,Ocre
Ocre – MappaPosizione del comune di Ocre all'interno della provincia dell'Aquila,Ocre – MappaPosizione del comune di Ocre all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
