Fossa comune,Fossa comune.1
,
Fossa – Veduta,Fossa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Fabrizio Boccabella[1] (lista civica Fossa Bene Comune) dal 5-6-2016
Territorio,Territorio
Coordinate,42°17′33.83″N 13°29′16.04″E
Altitudine,644 m s.l.m.
Superficie,"8,71 km²"
Abitanti,680[2] (30-11-2025)
Densità,"78,07 ab./km²"
Frazioni,"Cerro, Le Chiuse, L'Osteria"
Comuni confinanti,"Barisciano, L'Aquila, Ocre, Poggio Picenze, Sant'Eusanio Forconese"
Altre informazioni,Altre informazioni
Cod. postale,67020
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066044
Cod. catastale,D736
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 441 GG[4]"
Nome abitanti,fossolani
Patrono,san Clemente
Giorno festivo,23 novembre
PIL,(nominale) 16 mln €[5]
PIL procapite,(nominale) 22 739 €[5]
Cartografia,Cartografia
Fossa,Fossa
Fossa – MappaPosizione del comune di Fossa all'interno della provincia dell'Aquila,Fossa – MappaPosizione del comune di Fossa all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
