Pratola Peligna comune,Pratola Peligna comune.1
,
Pratola Peligna – VedutaPanorama della cittadina,Pratola Peligna – VedutaPanorama della cittadina
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Antonella Di Nino (lista civica Pratola bellissima) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,42°05′57″N 13°52′29″E
Altitudine,342 m s.l.m.
Superficie,"28,67 km²"
Abitanti,6 889[1] (30-11-2025)
Densità,"240,29 ab./km²"
Frazioni,"Bagnaturo, Ponte la Torre"
Comuni confinanti,"Caramanico Terme (PE), Corfinio, Prezza, Raiano, Roccacasale, Salle (PE), Sulmona"
Altre informazioni,Altre informazioni
Cod. postale,67035
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066075
Cod. catastale,H007
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 901 GG[3]"
Nome abitanti,pratolani
Patrono,san Pietro da Morrone Celestino V Madonna della Libera
Giorno festivo,19 maggio
Cartografia,Cartografia
Pratola Peligna,Pratola Peligna
Pratola Peligna – MappaPosizione del comune di Pratola Peligna all'interno della provincia dell'Aquila,Pratola Peligna – MappaPosizione del comune di Pratola Peligna all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
