Campo di Giove comune,Campo di Giove comune.1
,
Campo di Giove – VedutaUna panoramica di Campo di Giove,Campo di Giove – VedutaUna panoramica di Campo di Giove
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Michele Di Gesualdo[1] (lista civica di centro-destra Le ali per Campo) dal 13-6-2022
Territorio,Territorio
Coordinate,42°00′40″N 14°02′25″E
Altitudine,1 064 m s.l.m.
Superficie,"28,9 km²"
Abitanti,742[2] (30-11-2025)
Densità,"25,67 ab./km²"
Comuni confinanti,"Cansano, Pacentro, Palena (CH)"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066015
Cod. catastale,B526
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona F, 3 193 GG[4]"
Nome abitanti,campogiovesi
Patrono,sant'Eustachio
Giorno festivo,20 settembre
PIL,"(nominale) 12,5 mln € (2022)[5]"
PIL procapite,(nominale) 20 722 € (2022)[5]
Cartografia,Cartografia
Campo di Giove,Campo di Giove
Campo di Giove – MappaPosizione del comune di Campo di Giove all'interno della provincia dell'Aquila,Campo di Giove – MappaPosizione del comune di Campo di Giove all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
