Introdacqua comune,Introdacqua comune.1
,
Introdacqua – VedutaUno scorcio di Introdacqua,Introdacqua – VedutaUno scorcio di Introdacqua
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Cristian Colasante[1] (lista civica di centro-sinistra Solidarietà e progresso) dal 26-5-2019
Territorio,Territorio
Coordinate,42°00′30″N 13°53′57″E
Altitudine,642 m s.l.m.
Superficie,"37,11 km²"
Abitanti,1 934[2] (30-11-2025)
Densità,"52,12 ab./km²"
Frazioni,"Cantone, Cauze, Mastroiacovo, Pannate, Picarelli, Santa Maria Frascati"
Comuni confinanti,"Bugnara, Pettorano sul Gizio, Scanno, Sulmona"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066048
Cod. catastale,E307
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 438 GG[4]"
Nome abitanti,introdacquesi
Patrono,San Feliciano martire
Giorno festivo,penultima domenica di agosto (festa di San Feliciano martire) penultimo lunedì di agosto (festa di sant'Antonio)
PIL,(nominale) 47 mln €[5]
PIL procapite,(nominale) 22 196 €[5]
Motto,Interaquis Fidelissima
Cartografia,Cartografia
Introdacqua,Introdacqua
Introdacqua – MappaPosizione del comune di Introdacqua all'interno della provincia dell'Aquila,Introdacqua – MappaPosizione del comune di Introdacqua all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
