Ortona dei Marsi comune,Ortona dei Marsi comune.1
,
Ortona dei Marsi – Veduta,Ortona dei Marsi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Giuseppe Buccella (Lista civica Il Giovenco) dal 4-10-2021
Territorio,Territorio
Coordinate,41°59′54″N 13°43′44″E
Altitudine,1 003 m s.l.m.
Superficie,"57,1 km²"
Abitanti,369[1] (30-11-2025)
Densità,"6,46 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Anversa degli Abruzzi, Bisegna, Castelvecchio Subequo, Cocullo, Gioia dei Marsi, Pescina, Villalago"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066063
Cod. catastale,G142
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 084 GG[3]"
Nome abitanti,ortonesi
Patrono,san Generoso
Giorno festivo,8 maggio
Cartografia,Cartografia
Ortona dei Marsi,Ortona dei Marsi
Ortona dei Marsi – MappaPosizione del comune di Ortona dei Marsi all'interno della provincia dell'Aquila,Ortona dei Marsi – MappaPosizione del comune di Ortona dei Marsi all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
