Civita d'Antino comune,Civita d'Antino comune.1
,
"Civita d'Antino – VedutaPiazzale Kristian Zahrtmann e, in fondo, la fontana del tritone","Civita d'Antino – VedutaPiazzale Kristian Zahrtmann e, in fondo, la fontana del tritone"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Sara Cicchinelli (Coalizione civica Per Sara sindaco) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°53′12″N 13°28′21″E
Altitudine,904 m s.l.m.
Superficie,"28,35 km²"
Abitanti,923[1] (30-11-2025)
Densità,"32,56 ab./km²"
Frazioni,"Civita stazione, Pero dei Santi"
Comuni confinanti,"Civitella Roveto, Collelongo, Luco dei Marsi, Morino, San Vincenzo Valle Roveto, Trasacco"
Altre informazioni,Altre informazioni
Cod. postale,67050
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066034
Cod. catastale,C766
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 907 GG[3]"
Nome abitanti,"civitani, antinati"
Patrono,santo Stefano
Giorno festivo,19 agosto
Cartografia,Cartografia
Civita d'Antino,Civita d'Antino
Civita d'Antino – MappaPosizione del comune di Civita d'Antino all'interno della provincia dell'Aquila,Civita d'Antino – MappaPosizione del comune di Civita d'Antino all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
