Poggio Picenze comune,Poggio Picenze comune.1
,
Poggio Picenze – VedutaLa chiesa di San Felice Martire,Poggio Picenze – VedutaLa chiesa di San Felice Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,"Antonello Gialloreto[1] (Lista Civica ""Unica"") dal 31-5-2015 (2º mandato dal 22-9-2020)"
Territorio,Territorio
Coordinate,42°19′14.2″N 13°32′25.3″E
Altitudine,756 m s.l.m.
Superficie,"11,46 km²"
Abitanti,1 031[2] (30-11-2025)
Densità,"89,97 ab./km²"
Comuni confinanti,"Barisciano, Fossa, San Demetrio ne' Vestini, Sant'Eusanio Forconese"
Altre informazioni,Altre informazioni
Cod. postale,67026
Prefisso,0862
Fuso orario,UTC+1
Codice ISTAT,066073
Cod. catastale,G766
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 642 GG[4]"
Nome abitanti,poggiani
Patrono,san Felice Martire e san Vincenzo Ferrer
Giorno festivo,18-19 giugno
Cartografia,Cartografia
Poggio Picenze,Poggio Picenze
Poggio Picenze – MappaPosizione del comune di Poggio Picenze all'interno della provincia dell'Aquila,Poggio Picenze – MappaPosizione del comune di Poggio Picenze all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
