Capistrello comune,Capistrello comune.1
,
Capistrello – VedutaVeduta di Capistrello dall'altopiano della Renga,Capistrello – VedutaVeduta di Capistrello dall'altopiano della Renga
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Maurizio Murzilli (Lista civica Noi per Capistrello) dal 9-6-2024
Territorio,Territorio
Coordinate,41°58′25″N 13°24′00″E
Altitudine,734 m s.l.m.
Superficie,"60,97 km²"
Abitanti,4 614[1] (30-11-2025)
Densità,"75,68 ab./km²"
Frazioni,"Corcumello, Pescocanale"
Comuni confinanti,"Avezzano, Canistro, Castellafiume, Filettino (FR), Luco dei Marsi, Scurcola Marsicana, Tagliacozzo"
Altre informazioni,Altre informazioni
Cod. postale,67053
Prefisso,0863
Fuso orario,UTC+1
Codice ISTAT,066020
Cod. catastale,B656
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 774 GG[3]"
Nome abitanti,capistrellani
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Capistrello,Capistrello
Capistrello – MappaPosizione del comune di Capistrello all'interno della provincia dell'Aquila,Capistrello – MappaPosizione del comune di Capistrello all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
