Alfedena comune,Alfedena comune.1
,
Alfedena – VedutaPanorama dal castello,Alfedena – VedutaPanorama dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,L'Aquila
Amministrazione,Amministrazione
Sindaco,Luigi Milano[1] (lista civica Libera scelta) dal 4-10-2021
Territorio,Territorio
Coordinate,41°44′07.62″N 14°02′06″E
Altitudine,914 m s.l.m.
Superficie,"39,96 km²"
Abitanti,916[2] (30-11-2025)
Densità,"22,92 ab./km²"
Comuni confinanti,"Barrea, Montenero Val Cocchiara (IS), Picinisco (FR), Pizzone (IS), Scontrone"
Altre informazioni,Altre informazioni
Cod. postale,67030
Prefisso,0864
Fuso orario,UTC+1
Codice ISTAT,066003
Cod. catastale,A187
Targa,AQ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 924 GG[4]"
Nome abitanti,alfedenesi
Patrono,san Pietro Martire
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
Alfedena,Alfedena
Alfedena – MappaPosizione del comune di Alfedena all'interno della provincia dell'Aquila,Alfedena – MappaPosizione del comune di Alfedena all'interno della provincia dell'Aquila
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
